thread_id,question_created_at,answer_created_at,answer_text,answer_text_norm,answer_len,answer_word_count
10009277093,2025-11-17 19:34:32.085000+00:00,2025-11-17 19:34:32.087000+00:00,What are the prices for,what are the prices for,23,5
10025181020,2025-11-19 17:13:13.915000+00:00,2025-11-19 17:13:13.917000+00:00,Careers,careers,7,1
10027847523,2025-11-20 05:52:54.973000+00:00,2025-11-20 05:52:54.975000+00:00,Gerber GS750 Plus Plotter,gerber gs750 plus plotter,25,4
10048669859,2025-11-22 18:37:04.436000+00:00,2025-11-22 18:37:04.438000+00:00,Looking for a satin black vinyl that is FFA approved,looking for a satin black vinyl that is ffa approved,52,10
10058278985,2025-11-24 20:08:00.548000+00:00,2025-11-24 20:08:00.550000+00:00,3m 9972a,3m 9972a,8,2
10059485765,2025-11-25 04:32:15.691000+00:00,2025-11-25 04:32:15.693000+00:00,Does this machine create direct to Mylar bags with printing?,does this machine create direct to mylar bags with printing,60,10
10063348125,2025-11-25 21:03:35.246000+00:00,2025-11-25 21:03:35.248000+00:00,"Hello, is there any other material than sihl film for flexible packaging compatible with your printer?",hello is there any other material than sihl film for flexible packaging compatible with your printer,102,16
10073501076,2025-11-27 18:06:24.967000+00:00,2025-11-27 18:06:24.969000+00:00,HOLA,hola,4,1
10074937707,2025-11-28 08:03:23.852000+00:00,2025-11-28 08:03:23.854000+00:00,hi i am looking for pouch packaging sachet digital printing solution in three layer or two layer poly pouch rolls,hi i am looking for pouch packaging sachet digital printing solution in three layer or two layer poly pouch rolls,113,20
10096960435,2025-12-02 06:39:51.815000+00:00,2025-12-02 06:39:51.817000+00:00,3M 9972A,3m 9972a,8,2
10100189562,2025-12-02 14:53:52.110000+00:00,2025-12-02 14:53:52.112000+00:00,Digital flexible packaging printer,digital flexible packaging printer,34,4
10105086292,2025-12-03 14:31:26.175000+00:00,2025-12-03 14:31:26.177000+00:00,"Hi I actually own an Afinia 901, looking to get a more cost efficient solution for printing labels.",hi i actually own an afinia 901 looking to get a more cost efficient solution for printing labels,99,18
10106520907,2025-12-03 18:15:24.744000+00:00,2025-12-03 18:15:24.746000+00:00,Do you have any service engineers in UK my screen is looking like a split screen don't know why. Thanks,do you have any service engineers in uk my screen is looking like a split screen dont know why thanks,103,20
10113376842,2025-12-04 20:55:45.731000+00:00,2025-12-04 20:55:45.733000+00:00,Job,job,3,1
10114750846,2025-12-05 04:37:00.495000+00:00,2025-12-05 04:37:00.497000+00:00,hi do you have a digital printing machine for thin wall cup that directly print to its cup,hi do you have a digital printing machine for thin wall cup that directly print to its cup,90,18
10117365102,2025-12-05 14:50:31.758000+00:00,2025-12-05 14:50:31.760000+00:00,Quote for GS750 PLUS,quote for gs750 plus,20,4
10120978760,2025-12-06 13:18:40.870000+00:00,2025-12-06 13:18:40.872000+00:00,Any videos of machine running,any videos of machine running,29,5
10130213899,2025-12-09 13:59:21.049000+00:00,2025-12-09 13:59:21.051000+00:00,Is the Arrow EZ Cut 330R compatible with the same permanent adhesive vinyl media typically used on a wide format?,is the arrow ez cut 330r compatible with the same permanent adhesive vinyl media typically used on a wide format,113,20
10131971731,2025-12-09 15:23:28.862000+00:00,2025-12-09 15:23:28.864000+00:00,Please send sales manager contact,please send sales manager contact,33,5
10169359522,2025-12-17 03:50:07.472000+00:00,2025-12-17 03:50:07.474000+00:00,Is gerber going to discontinue it's foils?,is gerber going to discontinue its foils,42,7
10173035018,2025-12-17 22:02:05.009000+00:00,2025-12-17 22:02:05.011000+00:00,a small maybe portable machine i can use to custom print designs on small mylar bags,a small maybe portable machine i can use to custom print designs on small mylar bags,84,16
10175560791,2025-12-18 13:53:19.737000+00:00,2025-12-18 13:53:19.739000+00:00,"Good morning, I'd like to get a quote and information on the placard printers/machines you have available for the aircraft industry We are looking for a machine(s) for our Bombardier maintenance facility in Miami for use for placards on our business aircraft.",good morning id like to get a quote and information on the placard printersmachines you have available for the aircraft industry we are looking for a machines for our bombardier maintenance facility in miami for use for placards on our business aircraft,259,42
10223885607,2025-12-30 16:46:34.841000+00:00,2025-12-30 16:46:34.843000+00:00,Looking for chrome silver transfer ribbon for the Spring3.,looking for chrome silver transfer ribbon for the spring3,58,9
10225997486,2025-12-31 09:06:15.786000+00:00,2025-12-31 09:06:15.788000+00:00,BOPP laminating film with Width: 305 mm Thickness: 24 microns Length: 300 meters (roll length) Surface Tension: 38 dynes Corona Treatment: Double-sided,bopp laminating film with width 305 mm thickness 24 microns length 300 meters roll length surface tension 38 dynes corona treatment doublesided,151,22
10229492905,2026-01-01 23:07:58.592000+00:00,2026-01-01 23:07:58.594000+00:00,I want wrapper for my brand can u make it for me,i want wrapper for my brand can u make it for me,48,12
