thread_id,status,detail,thread_start_time
3043168900,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-08-18 07:05:43.469000+00:00
3043180714,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-08-18 06:27:57.699000+00:00
3043360663,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-08-18 07:05:04.598000+00:00
3058861870,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-08-22 11:44:36.081000+00:00
3087069718,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-08-27 13:12:18.173000+00:00
3108698882,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-09-01 03:04:21.123000+00:00
3129553677,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-09-06 06:31:38.167000+00:00
3133540705,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-09-06 21:02:03.189000+00:00
3137224489,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-09-07 14:35:00.953000+00:00
3167779190,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-09-13 22:49:29.366000+00:00
3190807992,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-09-19 06:19:57.713000+00:00
3216663103,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-09-23 07:40:45.885000+00:00
3237499265,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-09-27 20:26:58.638000+00:00
3258319645,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-01 21:22:20.397000+00:00
3297715550,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-09 11:49:25.131000+00:00
3302511877,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-10 13:46:41.599000+00:00
3310844012,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-11 17:34:25.894000+00:00
3315235886,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-12 11:17:27.852000+00:00
3334824592,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-15 21:36:23.913000+00:00
3337503831,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-17 01:00:22.156000+00:00
3339994664,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-17 13:32:09.782000+00:00
3347782951,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-18 15:31:02.447000+00:00
3347859237,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-18 15:53:04.611000+00:00
3363115302,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-20 19:27:41.530000+00:00
3366650165,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-21 10:32:19.497000+00:00
3400734624,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-27 15:19:45.611000+00:00
3405559173,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-10-28 10:59:45.868000+00:00
3451339101,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-11-06 18:45:39.711000+00:00
3508504728,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-11-16 17:28:38.666000+00:00
3529842332,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2022-11-20 08:25:40.798000+00:00
