thread_id,question_created_at,answer_created_at,answer_text,answer_len,answer_word_count
4046372020,2023-02-22 05:21:44.454000+00:00,2023-02-22 05:21:44.456000+00:00,330r lite,9,2
4046417070,2023-02-22 05:15:21.745000+00:00,2023-02-22 05:15:21.747000+00:00,330r lite,9,2
4046417247,2023-02-22 05:18:15.934000+00:00,2023-02-22 05:18:15.936000+00:00,330r lite,9,2
4046418789,2023-02-22 05:47:13.876000+00:00,2023-02-22 05:47:13.878000+00:00,330r lite,9,2
4070588203,2023-02-26 12:48:28.822000+00:00,2023-02-26 12:48:28.824000+00:00,"Hi, we would like to know if this machine prints on all untreated supports or with special support Thanks a lot to you Mohamed Bechir Zbouna Digital department manager 4MK The Tunisia sticker",191,33
4089411176,2023-03-01 07:54:24.769000+00:00,2023-03-01 07:54:24.771000+00:00,how much about ECO 300?,23,5
4094624085,2023-03-01 22:49:50.757000+00:00,2023-03-01 22:49:50.759000+00:00,Printing Machine that could print on clear sticker paper (most of the prints will be black and white),101,18
4109922163,2023-03-04 06:57:59.696000+00:00,2023-03-04 06:57:59.698000+00:00,We are looking for flexible packaging machine details and quotation.,68,10
4120578069,2023-03-06 20:13:23.319000+00:00,2023-03-06 20:13:23.321000+00:00,how much please ?,17,4
4141742520,2023-03-09 13:10:31.384000+00:00,2023-03-09 13:10:31.386000+00:00,ARROWJET AQUA 330R LİTE price,29,5
4159093084,2023-03-12 23:03:23.837000+00:00,2023-03-12 23:03:23.839000+00:00,The ArrowJet Aqua 330R,22,4
4202656523,2023-03-20 13:31:16.118000+00:00,2023-03-20 13:31:16.120000+00:00,Good Morning,12,2
4206419562,2023-03-21 01:58:14.991000+00:00,2023-03-21 01:58:14.993000+00:00,Hi! Do you do digital printing on mylar bags?,45,9
4213951521,2023-03-21 22:32:53.256000+00:00,2023-03-21 22:32:53.258000+00:00,"Hello, I am using ImagePrint 12 currently .I don't know if it's a competitor to you your Company or not.I'm finding it difficult to always call them (Eastcoast) Time.What am am in need of a RIP system that has better Customer service.ImagePrint is a great Company,Great Product . but I find it to be very frustrating.sinse I don't know what to ask to move along.I do Photography mostly b/w could you direct me to other Rip Systems",430,77
4214729627,2023-03-22 02:24:04.872000+00:00,2023-03-22 02:24:04.874000+00:00,How much is this machine the aquajet 330R,41,8
4220547653,2023-03-22 20:09:43.506000+00:00,2023-03-22 20:09:43.508000+00:00,Gerber Envision 375 15Inch Plotter,34,5
4235542049,2023-03-24 18:34:31.320000+00:00,2023-03-24 18:34:31.322000+00:00,Hi!,3,1
4238401560,2023-03-25 09:28:08.411000+00:00,2023-03-25 09:28:08.413000+00:00,I have send you a message. Can you confirm me that you receive it? Thanks,73,15
4252527487,2023-03-28 04:42:18.823000+00:00,2023-03-28 04:42:18.825000+00:00,Dose this machine Print and make the Mylar bags ?,49,10
4273152058,2023-03-30 17:09:10.727000+00:00,2023-03-30 17:09:10.729000+00:00,Do you sell this product in Great Britain,41,8
4302295666,2023-04-04 20:45:24.386000+00:00,2023-04-04 20:45:24.388000+00:00,Hi there,8,2
4357947245,2023-04-14 01:35:07.975000+00:00,2023-04-14 01:35:07.977000+00:00,Are these used.,15,3
4455690152,2023-04-29 12:24:41.127000+00:00,2023-04-29 12:24:41.129000+00:00,A printer for Mylar bags. What’s the price,42,8
4505432580,2023-05-08 21:50:21.892000+00:00,2023-05-08 21:50:21.894000+00:00,where do I send my tax exempt forms,35,8
4530490539,2023-05-11 20:04:17.336000+00:00,2023-05-11 20:04:17.338000+00:00,Gerber GS750 plus plotter what’s the price?,43,7
4548915727,2023-05-15 18:07:18.067000+00:00,2023-05-15 18:07:18.069000+00:00,"do you have a placard set for the interior of a Cessna Citation III, model 650? How about exterior?",99,19
4549844877,2023-05-15 20:34:12.845000+00:00,2023-05-15 20:34:12.847000+00:00,entry level labels printer for a quick print shop,49,9
4564386317,2023-05-17 15:05:25.687000+00:00,2023-05-17 15:05:25.689000+00:00,"One of our people picked up your brochure at the Toronto show last week. I am looking at the Arrow Overjet Pro 700 in the brochure, but dont see any information on your website?",177,34
4571833661,2023-05-18 15:23:48.006000+00:00,2023-05-18 15:23:48.008000+00:00,Yen to lkr,10,3
4602344079,2023-05-23 18:33:11.735000+00:00,2023-05-23 18:33:11.737000+00:00,pressure sensitive adhesive paper,33,4
4604611730,2023-05-24 01:35:37.069000+00:00,2023-05-24 01:35:37.071000+00:00,"I want to make custom aircraft instrument panel labels for switches and circuit breakers, what to you recommend for a single engine biplane?",140,23
4605531408,2023-05-24 07:23:39.682000+00:00,2023-05-24 07:23:39.684000+00:00,"Dear purchasing manager, I am Ken Liu, We specialized in manufacturing paper printing packaging for more than 10 years. We can do the following products: 1) paper box, color box, gift box, wine box. 2) bag. 3) sticker, label. 4) display stands. 5) Round box. If you want to know more offers, please contact us. Thank you. Best regards, Ken Liu, Email: ken@greencolor-print.com, Mob: 86)13632466964, Skype: ken420546, WhatsApp: +86 13632466964, Website: www.greencolorprint.com",476,72
4654339164,2023-05-30 22:46:17.622000+00:00,2023-05-30 22:46:17.624000+00:00,Is there phone number I can call,32,7
4715279731,2023-06-08 19:46:33.353000+00:00,2023-06-08 19:46:33.355000+00:00,What state are you located in?,30,6
4719111048,2023-06-09 12:14:50.103000+00:00,2023-06-09 12:14:50.105000+00:00,Hello how much is this machine,30,6
4721764274,2023-06-09 16:45:06.143000+00:00,2023-06-09 16:45:06.145000+00:00,can you print my designs and send them to me,44,10
4726442025,2023-06-10 16:19:30.086000+00:00,2023-06-10 16:19:30.088000+00:00,How much is the ARROWJET OVERJET PRO 700,40,8
4730285420,2023-06-12 02:55:24.794000+00:00,2023-06-12 02:55:24.796000+00:00,Hi looking for a Mylar bag printing machine,43,8
4757176472,2023-06-15 07:48:40.512000+00:00,2023-06-15 07:48:40.514000+00:00,"Price of T2-L, please",21,4
4773547169,2023-06-16 18:52:06.533000+00:00,2023-06-16 18:52:06.535000+00:00,Do you have a UK distributor ?,30,7
4817378911,2023-06-22 23:21:58.608000+00:00,2023-06-22 23:21:58.610000+00:00,I am looking for a machine that makes the bags with the design zip lock,71,15
4832616088,2023-06-25 20:26:52.563000+00:00,2023-06-25 20:26:52.565000+00:00,"Dear Sir, I am planning to visit Label Expo Europe 2023 in September.i want to have meeting with you for the purchase and discuss other term and conditions..Please mail me time and date of meeting with you.I also need a VIP registration code from you to register for the show.Thanks Regards, Asmar Rashid Asmar Rashid Enterprises 221 Street 13 Ayub Colony Jhang Road Faisalabad Pakistan +92412658621 +923367283349 +923378200815",427,68
4916645529,2023-07-09 19:13:54.894000+00:00,2023-07-09 19:13:54.896000+00:00,Does this machine print on Mylar before bag is made or after,60,12
4922009643,2023-07-10 16:46:12.023000+00:00,2023-07-10 16:46:12.025000+00:00,Indian make machine,19,3
4924396568,2023-07-11 02:12:51.112000+00:00,2023-07-11 02:12:51.114000+00:00,What kind of printer do I need to print on Mylar bags?,54,12
4945213490,2023-07-13 12:20:46.810000+00:00,2023-07-13 12:20:46.812000+00:00,Buenos dias,11,2
4961329982,2023-07-14 14:40:51.140000+00:00,2023-07-14 14:40:51.142000+00:00,Can this printer print on our inventory of plain semi gloss and poly stock.,75,14
4965436980,2023-07-15 01:18:51.895000+00:00,2023-07-15 01:18:51.897000+00:00,How much is the aqua 330,24,6
4987432456,2023-07-18 23:56:24.134000+00:00,2023-07-18 23:56:24.136000+00:00,request quote with varnish station,34,5
5024060976,2023-07-25 01:38:41.864000+00:00,2023-07-25 01:38:41.866000+00:00,Can you offer the complete English address of this Expo location(place) ?,73,12
5048980874,2023-07-27 21:59:24.208000+00:00,2023-07-27 21:59:24.210000+00:00,How much is the inkjet 330,26,6
5048989086,2023-07-27 22:29:45.262000+00:00,2023-07-27 22:29:45.264000+00:00,Hello! I am trying to add a contact number. What is the format?,63,13
5082594340,2023-08-02 09:46:23.758000+00:00,2023-08-02 09:46:23.760000+00:00,hello I would like to know the price of the Arrow Jet aqua 330RLite,67,14
5091795066,2023-08-03 15:02:48.650000+00:00,2023-08-03 15:02:48.652000+00:00,what equipment will yo be showing at Label Expo this year,57,11
5095922794,2023-08-04 05:39:33.664000+00:00,2023-08-04 05:39:33.666000+00:00,Hi i am interested in the print cut,35,8
5097331883,2023-08-04 08:29:23.681000+00:00,2023-08-04 08:29:23.683000+00:00,Aqua 330r lite,14,3
